Tag,List,Class,Drawn_out_level,Successful_apps_at_DOL,Total_apps_at_DOL,Chance_at_DOL,Chance_with_First_choice,Animal,Sex,UnitCode,SeasonCode,Weapon,SeasonWeapon,DOL,Quota,Choice 1 Applicants,Dates,Notes,New,HD,hybrid,PLO,RFW,NoApps,nopoints,Valid GMUs,harvestunit,Total_Acres,Public_Acres,Public_Percent,Drawn_out_level24,Chance_at_DOL24,Drawn_out_level23,Chance_at_DOL23,Chance_at_DOLN,DOLE25,Chance_at_DOLN24,DOL24,DOLE24,Chance_at_DOLN23,DOL23,DOL3,DOLE23,slope,predictedDrawnOut,PredPrefPoints,Predpercent,PredPrefPercent
DF141O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,141,No Harvest Stats Available,241723,594,0.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF951O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,951,No Harvest Stats Available,998103,20723,2.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM087O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,87,No Harvest Stats Available,1248233,181201,14.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM088O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,88,No Harvest Stats Available,767825,120087,15.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM089O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,89,No Harvest Stats Available,865193,37566,4.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM090O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,90,No Harvest Stats Available,419556,8355,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM091O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,91,No Harvest Stats Available,85614,15353,17.9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM092O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,92,No Harvest Stats Available,64727,5084,7.9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM093O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,93,No Harvest Stats Available,1056279,8025,0.8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM094O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,94,No Harvest Stats Available,809651,592,0.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM095O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,95,No Harvest Stats Available,823374,17536,2.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM096O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,96,No Harvest Stats Available,275182,11966,4.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM097O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,97,No Harvest Stats Available,654600,89,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM098O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,98,No Harvest Stats Available,1977182,4754,0.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM099O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,99,No Harvest Stats Available,1803504,4875,0.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM100O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,100,No Harvest Stats Available,1155868,85,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM101O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,101,No Harvest Stats Available,746795,730,0.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM102O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,102,No Harvest Stats Available,802632,11592,1.4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM103O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,103,No Harvest Stats Available,139159,10724,7.7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM104O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains   Landowner permission is advisable before applying. Most land is private.,New,No,No,No,No,NA,N,104,No Harvest Stats Available,1569733,63621,4.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM105O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,"105,106","No Harvest Stats Available,No Harvest Stats Available",1870866,3465,0.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM107O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,107,No Harvest Stats Available,1335793,1090,0.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM109O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,109,No Harvest Stats Available,1120275,475,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM110O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,110,No Harvest Stats Available,661623,668,0.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM111O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,111,No Harvest Stats Available,730191,66,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM112O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,112,No Harvest Stats Available,314130,0,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM113O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,113,No Harvest Stats Available,223953,4131,1.8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM114O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,"114,115","No Harvest Stats Available,No Harvest Stats Available",977447,0,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM116O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,116,No Harvest Stats Available,1022639,0,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM117O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,117,No Harvest Stats Available,477253,63,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM118O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,"118,123","No Harvest Stats Available,No Harvest Stats Available",1098481,26748,2.4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM119O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,119,No Harvest Stats Available,618414,898,0.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM120O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,"120,121","No Harvest Stats Available,No Harvest Stats Available",1646118,4722,0.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM122O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,"122,127,132","No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available",2870162,43370,1.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM124O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,124,No Harvest Stats Available,687027,6615,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM125O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,"125,130","No Harvest Stats Available,No Harvest Stats Available",1090833,115549,10.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM126O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,"126,146","No Harvest Stats Available,No Harvest Stats Available",1660961,52444,3.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM128O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains   Landowner permission is advisable before purchasing. Most land is private.,New,No,No,No,No,NA,N,128,No Harvest Stats Available,1277696,45936,3.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM129O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains   Landowner permission is advisable before applying. Most land is private.,New,No,No,No,No,NA,N,129,No Harvest Stats Available,250386,526,0.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM133O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,133,No Harvest Stats Available,588528,19015,3.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM134O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,134,No Harvest Stats Available,404550,2726,0.7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM135O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,135,No Harvest Stats Available,760773,243316,32%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM136O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,"136,147","No Harvest Stats Available,No Harvest Stats Available",907113,48440,5.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM137O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,"137,138,143,144","No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available",2251057,299799,13.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM139O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,"139,145","No Harvest Stats Available,No Harvest Stats Available",1532114,102477,6.7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM141O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,141,No Harvest Stats Available,241723,594,0.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM951O1R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct. 24-Nov. 3,Plains,New,No,No,No,No,NA,N,951,No Harvest Stats Available,998103,20723,2.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF003O1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,,New,No,No,No,No,NA,N,"3,4,5,14,214,301,441","No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available",3139801,1499273,47.8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF006O1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,,New,No,No,No,No,NA,N,"6,16,17,161,171","No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available",1803976,1225934,68%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF007O1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,,New,No,No,No,No,NA,N,"7,8,9,19,191","No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available",2000963,1063981,53.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF011O1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,Special Restrictions See Brochure,New,No,No,No,No,NA,N,"11,12,13,22,23,24,131,211,231","No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available",4512177,2605205,57.7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF012O1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,Special Restrictions See Brochure,New,No,No,No,No,NA,N,"12,23,24","No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available",1480298,932081,63%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF015O1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,,New,No,No,No,No,NA,N,15,No Harvest Stats Available,539743,351922,65.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF018O1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,,New,No,No,No,No,NA,N,"18,27,28,37,181,371","No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available",2607017,1746064,67%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF020O1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,,New,No,No,No,No,NA,N,20,No Harvest Stats Available,1330216,341109,25.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF023O1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,Special Restrictions See Brochure,New,No,No,No,No,NA,N,"23,24","No Harvest Stats Available,No Harvest Stats Available",939135,649694,69.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF025O1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,,New,No,No,No,No,NA,N,"25,26","No Harvest Stats Available,No Harvest Stats Available",514210,337701,65.7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF029O1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,,New,No,No,No,No,NA,N,29,No Harvest Stats Available,481784,112489,23.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF033O1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,,New,No,No,No,No,NA,N,33,No Harvest Stats Available,450288,339388,75.4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF034O1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,,New,No,No,No,No,NA,N,34,No Harvest Stats Available,208574,191998,92.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF035O1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,,New,No,No,No,No,NA,N,"35,36,45,361","No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available",1040280,836649,80.4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF038O1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,,New,No,No,No,No,NA,N,38,No Harvest Stats Available,495372,151588,30.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF039O1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,Special Restrictions See Brochure,New,No,No,No,No,NA,N,"39,46","No Harvest Stats Available,No Harvest Stats Available",628586,430055,68.4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF041O1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,,New,No,No,No,No,NA,N,"41,42,421","No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available",1574530,957437,60.8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF043O1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,,New,No,No,No,No,NA,N,"43,47,431,471","No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available",1220926,967723,79.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF044O1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,,New,No,No,No,No,NA,N,44,No Harvest Stats Available,406291,320001,78.8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF048O1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,,New,No,No,No,No,NA,N,"48,56,481,561","No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available",1005432,832466,82.8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF049O1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,,New,No,No,No,No,NA,N,"49,57,58,581","No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available",2503591,1341190,53.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF051O1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,,New,No,No,No,No,NA,N,51,No Harvest Stats Available,538646,250661,46.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF054O1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,,New,No,No,No,No,NA,N,54,No Harvest Stats Available,614130,477115,77.7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF055O1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,,New,No,No,No,No,NA,N,55,No Harvest Stats Available,935251,835098,89.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF059O1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,,New,No,No,No,No,NA,N,"59,511,591","No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available",1290253,466287,36.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF069O1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,,New,No,No,No,No,NA,N,"69,84,86,691,861","No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available",2616016,933137,35.7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF075O1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,,New,No,No,No,No,NA,N,"75,751","No Harvest Stats Available,No Harvest Stats Available",1125998,628165,55.8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF077O1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,,New,No,No,No,No,NA,N,"77,78,771","No Harvest Stats Available,No Harvest Stats Available,No Harvest Stats Available",1706829,1025592,60.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF080O1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,,New,No,No,No,No,NA,N,"80,81","No Harvest Stats Available,No Harvest Stats Available",2129625,1414508,66.4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF391O1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept. 12-20,Landowner permission is advisable before applying. Most land is private.,New,No,No,No,No,NA,N,"391,461","No Harvest Stats Available,No Harvest Stats Available",454496,10863,2.4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
